,Name,Type,Restrictions,Comment
21,aid contribution ('000 us$),string,"Valores válidos: 'yes','no' ou null","O montante total (dado em 000'US$, valor actual, ou seja, valor no momento do relatório) da contribuição para actividades de ajuda imediata dadas ao país como resposta ao desastre (utilizando o Sistema de Acompanhamento Financeiro do OCHA de 1992 em diante) .
"
22,dis mag value,bigint,,"Valor que diz respeito a magnitude do disastre natural.
"
23,dis mag scale,string,,"unidade de medida utilizada para aferir a magnitude do disastre natural.
"
24,latitude,float,valor numérico compreendido no intervalo -180 à 180.,"Valor numérico referente a coordenada latitudinal da estação climática que realizou a coleta dos dados.
"
25,longitude,float,valor numérico compreendido no intervalo -90 à 90.,"Valor numérico referente a coordenada longitudinal da estação climática que realizou a coleta dos dados.
"
26,local time,string,,"Horário em que ocorreu o evento de disastre
"
27,river basin,string,,"Nome das bacias hidrográficas da área afetada.
"
28,start day/month/year,bigint,,"O ano em que o desastre ocorreu. Este valor está bem definida para todos os desastres de impacto repentino.
"
29,start month,bigint,Ser um número de 1 a 12.,"O mês do ano em que ocorreu o desastre. Este valor está bem definida para todos os desastres de impacto repentino.
"
30,start day,bigint,ser um dia válido no mês correspondente.,"o dia do mês em que ocorreu o disastre.Este valor está bem definida para todos os desastres de impacto repentino. Para situações de catástrofe que se desenvolvam gradualmente ao longo de um período de tempo mais longo (ou seja, seca) sem data de início, este campo pode ser deixado em branco.
"
31,end year,bigint,,"O ano em que o disastre chegou ao fim.Este valor está bem definida para todos os desastres de impacto repentino.
"
32,end month,bigint,Ser um número de 1 a 12.,"O mês do ano em que o disastre chegou ao fim.Este valor está bem definida para todos os desastres de impacto repentino.
"
33,end day,bigint,ser um dia válido no mês correspondente.,"O dia do mês em que o disastre chegou ao fim.Este valor está bem definida para todos os desastres de impacto repentino. Para situações de desastre que terminem durante um período de tempo mais longo (ou seja, seca) sem data de conclusão definida, este campo pode ser deixado em branco.
"
34,total deaths,bigint,Ser um valor mulo ou inteiro maior igual a 0.,"Número de falecimentos em decorrência do disastre ocorrido.
"
35,no injured,bigint,,"Pessoas que sofrem lesões físicas, traumas ou doenças que requerem assistência médica imediata como resultado direto de um desastre.
"
36,no affected,bigint,Ser um valor mulo ou inteiro maior igual a 0.,"Pessoas que necessitam de assistência imediata durante uma situação de emergência. O indicador afectado é frequentemente comunicado e amplamente utilizado por diferentes intervenientes para transmitir a extensão, o impacto ou a gravidade de uma catástrofe em termos não espaciais. A ambiguidade nas definições e os diferentes critérios e métodos de estimativa produzem números muito diferentes, que raramente são comparáveis.
"
37,no homeless,bigint,,"Número de pessoas cujas casas foram destruídas ou fortemente danificadas e, portanto, necessitam de abrigo após um evento.
"
38,total affected,bigint,Ser um valor mulo ou inteiro maior igual a 0.,"Nome das bacias hidrográficas da área afetada.
"
39,reconstruction costs ('000 us$),string,valor nulo ou  maior igual a 0,"Esses custos são para a reposição de ativos perdidos. Os custos de reconstrução são diferentes dos danos totais, uma vez que devem ter em conta os custos actuais de construção ou aquisição de bens, bem como o custo adicional das medidas de prevenção e mitigação para reduzir os danos causados ​​por desastres futuros.
"
40,"reconstruction costs, adjusted ('000 us$)",string,nulo ou maior que 0.,"Mesmo indicador que 'reconstruction costs ('000 us$)', porém com o valor do dolar atualizado para a cotação do ano de 2021.
"
41,insured damages ('000 us$),string,nulo ou maior que 0.,"Valores de perdas econômicos cobertos por seguradoras.
"
42,"insured damages, adjusted ('000 us$)",string,nulo ou maior que 0,"Mesmo indicador que 'insured damages ('000 us$)', porém com o valor do dolar atualizado para a cotação do ano de 2021.
"
43,total damages ('000 us$),bigint,nulo ou maior que 0.,"Um valor de todos os danos e perdas económicas direta ou indiretamente relacionados com o desastre. A informação pode incluir números de repartição por sectores: Social, Infraestruturas, Produção, Ambiente e outros (quando disponíveis).
"
44,"total damages, adjusted ('000 us$)",bigint,nulo ou maior que 0.,"Mesmo indicador que 'total damages ('000 us$)', porém com o valor do dolar atualizado para a cotação do ano de 2021.
"
45,cpi,double,nulo ou maior que 0.,"Índice de Preços ao Consumidor. Usado para converter os danos (que são dados no momento em que ocorreu o desastre) para o valor atual em dólares americanos.
"
46,adm level,bigint,,
47,admin1 code,string,,
48,admin2 code,bigint,,
49,geo locations,string,,"Especificação geográfica (por exemplo, nome de uma cidade, vila, departamento, província, estado ou distrito). Isto permite a análise subsequente da ocorrência e impacto de desastres por região, distrito ou qualquer outra fronteira administrativa subnacional.
"
